team_home,team_away,home_goals_avg,away_goals_avg,home_wins_pct,away_wins_pct,outcome
Team39,Team29,0.96,2.45,0.66,0.57,0
Team23,Team11,1.65,1.33,0.39,0.69,1
Team2,Team25,2.58,1.03,0.41,0.41,2
Team12,Team23,0.52,0.56,0.61,0.54,1
Team28,Team16,1.08,0.73,0.67,0.53,2
Team3,Team38,2.02,0.93,0.34,0.87,2
Team14,Team9,0.54,1.08,0.44,0.71,0
Team44,Team8,0.59,2.77,0.46,0.7,0
Team2,Team7,1.02,1.92,0.32,0.81,0
Team44,Team34,1.49,2.82,0.74,0.5,0
Team14,Team24,1.8,2.9,0.81,0.75,0
Team47,Team24,1.39,1.2,0.63,0.38,2
Team15,Team46,0.69,2.97,0.76,0.42,0
Team24,Team11,1.0,2.28,0.77,0.66,0
Team42,Team39,2.13,2.79,0.81,0.57,0
Team33,Team49,1.43,2.17,0.7,0.65,0
Team22,Team28,1.9,1.46,0.88,0.81,2
Team5,Team27,1.09,1.14,0.32,0.73,0
Team26,Team43,1.6,1.0,0.84,0.59,2
Team32,Team4,2.77,1.12,0.55,0.75,2
Team36,Team13,0.69,1.22,0.4,0.86,0
Team45,Team6,1.64,1.05,0.55,0.83,2
Team28,Team25,1.3,0.78,0.44,0.56,2
Team13,Team42,1.26,0.91,0.62,0.59,2
Team33,Team43,1.34,2.86,0.49,0.61,0
Team41,Team50,0.66,1.13,0.45,0.72,0
Team3,Team50,0.87,2.99,0.46,0.89,0
Team28,Team23,1.2,2.77,0.44,0.39,0
Team44,Team26,2.96,1.11,0.7,0.76,2
Team17,Team39,1.42,2.08,0.68,0.62,0
Team48,Team16,2.59,1.3,0.41,0.32,2
Team20,Team37,0.54,1.78,0.44,0.69,0
Team41,Team33,1.49,1.79,0.8,0.71,1
Team25,Team23,1.85,2.24,0.44,0.4,0
Team48,Team50,1.1,0.73,0.84,0.84,2
Team9,Team42,1.37,2.31,0.84,0.83,0
Team33,Team24,2.63,2.84,0.77,0.7,1
Team35,Team49,0.75,2.16,0.3,0.4,0
Team18,Team2,2.23,2.13,0.43,0.73,1
Team33,Team14,1.31,2.37,0.69,0.81,0
Team17,Team34,1.86,1.77,0.68,0.45,2
Team30,Team39,2.95,1.72,0.84,0.56,2
Team21,Team31,2.11,2.17,0.82,0.44,2
Team48,Team19,1.93,2.42,0.33,0.9,0
Team30,Team29,1.2,2.71,0.75,0.87,0
Team29,Team50,1.88,1.93,0.89,0.35,2
Team21,Team33,2.63,1.29,0.4,0.63,2
Team31,Team3,1.93,0.74,0.67,0.89,2
Team2,Team28,1.24,1.31,0.81,0.38,2
Team48,Team39,1.23,2.52,0.79,0.82,0
Team13,Team7,1.75,2.5,0.69,0.72,0
Team16,Team14,2.73,1.34,0.53,0.36,2
Team23,Team22,1.32,0.89,0.89,0.8,2
Team22,Team50,0.59,2.56,0.52,0.38,0
Team33,Team8,2.42,1.04,0.67,0.35,2
Team45,Team32,1.83,1.85,0.68,0.74,1
Team13,Team43,1.31,2.49,0.46,0.56,0
Team26,Team38,0.96,0.7,0.56,0.71,1
Team1,Team2,1.61,1.1,0.36,0.41,2
Team45,Team1,2.89,2.34,0.63,0.67,2
Team3,Team13,1.92,0.9,0.37,0.51,2
Team28,Team5,0.74,1.28,0.89,0.41,1
Team16,Team27,2.41,2.52,0.51,0.58,1
Team37,Team23,0.62,2.87,0.83,0.46,0
Team10,Team20,1.76,2.64,0.7,0.4,0
Team24,Team16,2.11,0.57,0.65,0.86,2
Team24,Team12,1.47,2.11,0.57,0.63,0
Team37,Team12,1.47,2.9,0.84,0.42,0
Team13,Team12,0.75,0.55,0.36,0.71,1
Team17,Team27,1.3,2.61,0.31,0.79,0
Team41,Team7,0.8,2.24,0.68,0.83,0
Team36,Team25,2.51,1.21,0.41,0.75,2
Team35,Team50,2.33,0.82,0.45,0.65,2
Team23,Team33,2.65,1.57,0.75,0.75,2
Team41,Team30,2.76,1.76,0.8,0.49,2
Team19,Team50,0.63,2.9,0.81,0.51,0
Team28,Team14,2.19,1.71,0.6,0.35,2
Team5,Team36,2.01,1.88,0.43,0.87,0
Team16,Team40,0.73,1.74,0.33,0.63,0
Team5,Team36,2.72,1.38,0.37,0.39,2
Team10,Team45,2.67,2.6,0.56,0.43,1
Team9,Team28,2.27,0.7,0.35,0.89,2
Team48,Team45,1.43,2.53,0.87,0.89,0
Team4,Team37,1.44,0.71,0.77,0.64,2
Team27,Team10,2.77,0.78,0.6,0.31,2
Team28,Team20,0.8,0.79,0.69,0.75,1
Team13,Team29,2.91,1.44,0.47,0.82,2
Team38,Team6,2.51,2.94,0.63,0.49,1
Team16,Team22,2.98,0.68,0.63,0.88,2
Team18,Team48,2.07,2.24,0.57,0.68,1
Team3,Team17,2.34,2.79,0.88,0.33,1
Team38,Team12,0.77,1.34,0.4,0.69,0
Team8,Team29,0.69,2.94,0.89,0.72,0
Team17,Team9,1.27,2.53,0.71,0.4,0
Team46,Team35,2.56,2.87,0.74,0.67,1
Team2,Team11,2.83,2.67,0.33,0.32,1
Team33,Team1,1.7,2.96,0.53,0.75,0
Team25,Team22,2.57,1.92,0.34,0.32,2
Team1,Team22,0.64,2.66,0.79,0.9,0
Team38,Team3,1.89,2.42,0.87,0.81,0
Team17,Team22,1.63,0.82,0.87,0.66,2
Team1,Team50,2.39,0.62,0.46,0.31,2
Team34,Team3,1.8,2.63,0.63,0.64,0
Team30,Team17,0.84,0.57,0.75,0.67,2
Team2,Team12,1.03,0.84,0.31,0.51,1
Team34,Team18,1.48,1.59,0.84,0.51,1
Team38,Team33,2.46,1.49,0.67,0.82,2
Team5,Team30,0.87,2.82,0.6,0.45,0
Team24,Team5,2.95,1.73,0.5,0.68,2
Team48,Team11,0.69,0.82,0.38,0.39,1
Team16,Team8,0.95,2.24,0.55,0.82,0
Team27,Team30,2.93,2.0,0.43,0.79,2
Team18,Team29,1.37,0.58,0.63,0.62,2
Team12,Team27,2.74,0.82,0.5,0.49,2
Team26,Team48,2.07,0.7,0.82,0.85,2
Team17,Team27,2.67,0.71,0.66,0.89,2
Team47,Team22,1.09,2.4,0.62,0.73,0
Team26,Team14,0.87,0.83,0.71,0.81,1
Team43,Team48,0.58,2.67,0.51,0.54,0
Team25,Team38,0.96,1.91,0.8,0.35,0
Team44,Team25,2.73,1.98,0.71,0.77,2
Team45,Team18,0.72,1.84,0.65,0.75,0
Team49,Team44,0.82,1.21,0.52,0.69,0
Team34,Team46,1.33,2.83,0.3,0.44,0
Team6,Team49,0.9,0.97,0.47,0.4,1
Team9,Team3,1.81,1.53,0.89,0.37,2
Team2,Team21,2.92,2.66,0.79,0.45,2
Team38,Team2,1.89,1.93,0.47,0.76,0
Team6,Team27,1.31,1.56,0.6,0.45,1
Team47,Team1,2.03,1.22,0.65,0.39,2
Team36,Team13,1.83,0.63,0.5,0.38,2
Team23,Team10,2.97,1.31,0.79,0.45,2
Team37,Team9,2.4,1.99,0.58,0.55,2
Team30,Team32,2.82,2.58,0.88,0.37,2
Team11,Team9,1.01,1.45,0.86,0.73,0
Team29,Team8,2.57,2.38,0.78,0.8,1
Team37,Team5,1.09,2.08,0.84,0.49,0
Team42,Team25,2.21,1.63,0.73,0.84,2
Team38,Team33,2.37,1.76,0.44,0.84,1
Team2,Team15,0.67,1.07,0.63,0.56,0
Team3,Team8,2.33,2.23,0.4,0.83,0
Team33,Team30,2.73,2.47,0.39,0.49,1
Team37,Team27,2.36,0.58,0.64,0.76,2
Team10,Team34,0.76,1.84,0.53,0.57,0
Team15,Team30,1.85,1.72,0.55,0.76,1
Team27,Team32,2.0,1.91,0.73,0.66,1
Team20,Team11,2.9,1.36,0.44,0.55,2
Team26,Team47,2.04,2.78,0.38,0.36,0
Team33,Team48,2.32,1.98,0.36,0.85,1
Team5,Team38,2.27,0.88,0.65,0.66,2
Team29,Team14,2.84,2.81,0.57,0.37,1
Team21,Team27,2.6,0.81,0.85,0.82,2
Team40,Team15,1.5,0.64,0.5,0.78,2
Team26,Team42,0.79,1.54,0.82,0.85,0
Team7,Team19,1.7,2.8,0.65,0.32,0
Team24,Team26,1.75,1.55,0.85,0.52,2
Team43,Team22,1.05,1.03,0.61,0.89,1
Team41,Team50,1.89,2.65,0.62,0.41,0
Team7,Team1,1.27,1.49,0.56,0.78,0
Team32,Team30,0.98,0.59,0.58,0.64,2
Team18,Team1,2.44,1.63,0.61,0.56,2
Team50,Team30,1.9,0.89,0.41,0.82,2
Team39,Team3,1.43,1.18,0.69,0.55,2
Team23,Team29,2.6,2.67,0.54,0.63,1
Team3,Team25,0.99,1.76,0.66,0.5,0
Team37,Team3,2.72,1.89,0.73,0.78,2
Team24,Team14,2.01,2.52,0.88,0.87,0
Team21,Team14,1.23,2.74,0.31,0.35,0
Team23,Team21,0.57,0.95,0.65,0.55,1
Team2,Team1,2.54,1.35,0.46,0.53,2
