,User,Название,Жанр,Рейтинг
0,User1,Movie85,мелодрама,5
1,User1,Movie68,комедия,1
2,User1,Movie6,мелодрама,2
3,User1,Movie33,мелодрама,4
4,User1,Movie22,драма,1
5,User1,Movie8,мелодрама,2
6,User1,Movie37,фантастика,3
7,User1,Movie26,боевик,4
8,User1,Movie90,драма,2
9,User1,Movie80,фантастика,3
10,User1,Movie35,фантастика,3
11,User1,Movie7,мелодрама,2
12,User1,Movie60,драма,3
13,User1,Movie84,боевик,3
14,User1,Movie2,мелодрама,1
15,User1,Movie9,комедия,3
16,User1,Movie50,фантастика,2
17,User1,Movie92,комедия,4
18,User1,Movie47,боевик,1
19,User1,Movie14,мелодрама,5
20,User1,Movie3,боевик,2
21,User1,Movie38,мелодрама,2
22,User1,Movie87,боевик,2
23,User1,Movie30,мелодрама,3
24,User1,Movie49,боевик,3
25,User1,Movie66,комедия,5
26,User1,Movie13,комедия,2
27,User1,Movie41,мелодрама,5
28,User1,Movie63,комедия,2
29,User2,Movie89,комедия,2
30,User2,Movie91,комедия,1
31,User2,Movie68,драма,2
32,User2,Movie18,мелодрама,5
33,User2,Movie56,мелодрама,3
34,User2,Movie19,мелодрама,5
35,User2,Movie84,мелодрама,2
36,User2,Movie73,комедия,2
37,User2,Movie21,фантастика,1
38,User2,Movie41,боевик,1
39,User2,Movie9,мелодрама,2
40,User2,Movie72,боевик,5
41,User2,Movie69,комедия,3
42,User2,Movie16,боевик,4
43,User2,Movie24,комедия,4
44,User2,Movie99,комедия,2
45,User2,Movie95,драма,2
46,User2,Movie4,драма,4
47,User2,Movie85,боевик,3
48,User2,Movie53,комедия,2
49,User2,Movie81,драма,2
50,User2,Movie39,боевик,2
51,User2,Movie57,боевик,5
52,User2,Movie36,боевик,3
53,User3,Movie55,боевик,5
54,User3,Movie52,мелодрама,1
55,User3,Movie6,мелодрама,4
56,User3,Movie78,комедия,1
57,User3,Movie95,боевик,3
58,User3,Movie49,фантастика,4
59,User3,Movie93,боевик,3
60,User3,Movie41,боевик,2
61,User3,Movie51,мелодрама,3
62,User3,Movie79,мелодрама,1
63,User3,Movie74,боевик,2
64,User3,Movie77,драма,4
65,User3,Movie69,драма,5
66,User3,Movie68,мелодрама,2
67,User3,Movie83,комедия,5
68,User3,Movie5,боевик,4
69,User3,Movie67,боевик,3
70,User3,Movie14,комедия,1
71,User3,Movie58,мелодрама,4
72,User3,Movie59,боевик,2
73,User3,Movie98,фантастика,1
74,User3,Movie32,комедия,3
75,User3,Movie84,драма,1
76,User4,Movie91,драма,2
77,User4,Movie58,фантастика,4
78,User4,Movie82,боевик,3
79,User4,Movie47,комедия,3
80,User4,Movie11,комедия,1
81,User4,Movie68,драма,2
82,User4,Movie50,фантастика,5
83,User4,Movie94,боевик,1
84,User4,Movie66,боевик,4
85,User4,Movie79,драма,5
86,User4,Movie21,боевик,5
87,User4,Movie49,комедия,2
88,User4,Movie71,боевик,5
89,User4,Movie6,боевик,4
90,User4,Movie99,драма,4
91,User4,Movie22,мелодрама,5
92,User4,Movie43,комедия,1
93,User4,Movie73,фантастика,5
94,User4,Movie85,мелодрама,5
95,User4,Movie20,драма,2
