,title,userName,rating,review,date,isEdited,developerResponse
0,Отличное приложение,Anechkina_smile,5,"Я очень довольна. Даже не могу придумать минусов, хотя наверное они есть. Из сравнения с другими банкингами это самое удобное, даже карту Сбера открыла из за приложения",2017-04-25 06:53:10,False,
1,Верните как было,Li$$,1,Хватит забивать приложение и нагружать его всякой фигней! Теперь это уже и магазин и чат и реклама... И стикеры... бред какой-то. Не можете вовремя остановиться.,2019-01-12 07:52:02,False,
2,Дно,Dykis,1,"Вы настолько мразотный банк, что даже нигде не афишировали что подклбчились к системе быстрых платежей. Еще и запихнули подальше в настройки, чтобы подключить. А тем временем 100к на другие карты можно переводить без комиссии по номеру телефона. Дно вы, а не банк.",2020-05-31 16:32:19,False,"{'id': 15686705, 'body': 'Мы рассказали об этом на сайте, написав подробно, как подключить сервис и перевести деньги: https://www.sberbank.ru/ru/person/remittance/sbp', 'modified': '2020-06-01T03:20:47Z'}"
3,Фууууу,пренорвв,1,Че за бред комиссия за перевод внутри банка в другой регион?!!! ВНУТРИ БАНКА!!! Ни у одного банка такого нет... Че вы все сидите на этом сбере?...,2019-08-27 15:39:14,False,
4,Разгрузите приложение,Eduardazizov,1,"Уберите все те сомнительные функции, которые добавили за два года, и верните ту скорость запуска приложения, которая была два года назад.
Слишком долго запускается на IPhone 8.",2018-10-27 17:27:52,False,
5,Visa Apple Pay,RomK@,5,Вот теперь 🔥 Изменяю рейтинг как и обещал!,2017-04-25 05:23:38,False,
6,Эффективные менеджеры в СБ,Xshpakx,1,"Будьте любезны, увольте всех инициаторов и согласующих внедрение мессенджера в функционал управления потоками финансов.
Если же вам кажется, что мессенджер в нынешнем виде это разумно, то прошу вас опубликовать статистику какой процент пользователей от общего пула пользователей диалогов, хотя бы раз по ошибке отправляли текстовое сообщение со значением необходимой суммы, вместо реальных денежных средств.",2019-09-15 08:13:31,False,
7,Пополнение карты,pavlikkar1983,1,"Добавили функцию пополнения карты с других банков...с комиссией😅смешно😳 другие банки это делают без комиссии! Браво,товарищ Греф!",2019-09-16 18:11:12,False,
8,Долгая загрузка приложения,shtopatel,1,"Что за цыганщина? Верните смски я что 60₽ за пуш уведомления буду платить? И что это за ноу хау такое за 299₽ будем следить чтобы на вас кредит не оформили, бесплатно должны о таком предупреждать! Вы берете не верный курс ребята!! Одумайтесь пока не поздно, уже начал рассматривать Тинькова, уверен я не один.",2020-08-15 05:58:30,False,"{'id': 17381549, 'body': 'Оплачивается не тип оповещения (Push или СМС), а сама услуга уведомлений. Подробнее о тарифах на сайте: https://www.sberbank.ru/common/img/uploaded/files/pdf/tarifi.pdf\nНезависимо от подписки, банк обеспечивает безопасность ваших денег. Новый сервис позволяет лишь удобнее контролировать все изменения по кредитной истории (информация поступает из бюро кредитных историй) . Например, если вы погасили кредит в нашем или другом банке, вам поступит оповещение.', 'modified': '2020-08-19T14:59:33Z'}"
9,Чтоб вы ...,Жрите сами,1,"Видимо сбер считает своих клиентов настолько нищими, что 50тыс - непосильная сумма для большинства по словам того же банка. Народ, переходите на наличку и будет вам счастье. Хватит уже кормить этих жидов. Мало им процентов по продуктам, надо и за переводы хапать!",2020-05-31 10:38:22,False,
